NumberOverall,NumberInSeason,Episode,Season,DateAired,Timestamp,Title,Director,Viewers,Writers,Rating
22,22,/wiki/Come_On,1,"May 15, 2006",1147647600,Come On,Pamela Fryman,8.64,"Carter Bays,Craig Thomas",70
23,1,/wiki/Where_Were_We%3F,2,"September 18, 2006",1158534000,Where Were We?,Pamela Fryman,10.48,"Carter Bays,Craig Thomas",67
24,2,/wiki/The_Scorpion_and_the_Toad,2,"September 25, 2006",1159138800,The Scorpion and the Toad,Rob Greenberg,9.14,Chris Harris,67
25,3,/wiki/Brunch,2,"October 2, 2006",1159743600,Brunch,Pamela Fryman,9.32,Stephen Lloyd,58
26,4,/wiki/Ted_Mosby:_Architect,2,"October 9, 2006",1160348400,Ted Mosby: Architect,Pamela Fryman,9.09,Kristen Newman,58
27,5,/wiki/World%27s_Greatest_Couple,2,"October 16, 2006",1160953200,World's Greatest Couple,Pamela Fryman,9.05,Brenda Hsueh,67
28,6,/wiki/Aldrin_Justice,2,"October 23, 2006",1161558000,Aldrin Justice,Pamela Fryman,9.59,Jamie Rhonheimer,54
29,7,/wiki/Swarley,2,"November 6, 2006",1162771200,Swarley,Pamela Fryman,8.22,Greg Malins,50
30,8,/wiki/Atlantic_City,2,"November 13, 2006",1163376000,Atlantic City,Pamela Fryman,9.33,Maria Ferrari,47
31,9,/wiki/Slap_Bet,2,"November 20, 2006",1163980800,Slap Bet,Pamela Fryman,8.85,Kourtney Kang,60
32,10,/wiki/Single_Stamina,2,"November 27, 2006",1164585600,Single Stamina,Pamela Fryman,9.85,Kristen Newman,53
33,11,/wiki/How_Lily_Stole_Christmas,2,"December 11, 2006",1165795200,How Lily Stole Christmas,Pamela Fryman,8.81,Brenda Hsueh,63
34,12,/wiki/First_Time_In_New_York,2,"January 8, 2007",1168214400,First Time in New York,Pamela Fryman,8.37,Gloria Calderon Kellett,59
35,13,/wiki/Columns,2,"January 22, 2007",1169424000,Columns,Rob Greenberg,9.42,Matt Kuhn,44
36,14,/wiki/Monday_Night_Football,2,"February 5, 2007",1170633600,Monday Night Football,Rob Greenberg,10.61,"Carter Bays,Craig Thomas",57
37,15,/wiki/Lucky_Penny,2,"February 12, 2007",1171238400,Lucky Penny,Pamela Fryman,9.68,Jamie Rhonheimer,51
38,16,/wiki/Stuff,2,"February 19, 2007",1171843200,Stuff,Pamela Fryman,8.95,Kourtney Kang,63
39,17,"/wiki/Arrivederci,_Fiero",2,"February 26, 2007",1172448000,"Arrivederci, Fiero",Pamela Fryman,9.33,Chris Harris,70
40,18,/wiki/Moving_Day,2,"March 19, 2007",1174262400,Moving Day,Pamela Fryman,7.27,Maria Ferrari,48
41,19,/wiki/Bachelor_Party,2,"April 9, 2007",1176073200,Bachelor Party,Pamela Fryman,9.90,"Carter Bays,Craig Thomas",59
42,20,/wiki/Showdown,2,"April 30, 2007",1177887600,Showdown,Pamela Fryman,7.24,Gloria Calderon Kellett,66
43,21,/wiki/Something_Borrowed,2,"May 7, 2007",1178492400,Something Borrowed,Pamela Fryman,7.69,Greg Malins,52
44,22,/wiki/Something_Blue,2,"May 14, 2007",1179097200,Something Blue,Pamela Fryman,9.90,"Carter Bays,Craig Thomas",65
45,1,/wiki/Wait_For_It,3,"September 24, 2007",1190588400,Wait for It,Pamela Fryman,8.12,"Carter Bays,Craig Thomas",32
46,2,/wiki/We%27re_Not_From_Here,3,"October 1, 2007",1191193200,We're Not from Here,Pamela Fryman,7.88,Chris Harris,35
47,3,/wiki/Third_Wheel,3,"October 8, 2007",1191798000,Third Wheel,Pamela Fryman,7.96,David Hemingson,42
48,4,/wiki/Little_Boys,3,"October 15, 2007",1192402800,Little Boys,Rob Greenberg,7.71,Kourtney Kang,54
49,5,/wiki/How_I_Met_Everyone_Else,3,"October 22, 2007",1193007600,How I Met Everyone Else,Pamela Fryman,8.50,Gloria Calderon Kellett,52
50,6,/wiki/I%27m_Not_That_Guy,3,"October 29, 2007",1193616000,I'm Not That Guy,Pamela Fryman,8.55,Jonathan Groff,40
51,7,/wiki/Dowisetrepla,3,"November 5, 2007",1194220800,Dowisetrepla,Pamela Fryman,8.77,Brenda Hsueh,67
52,8,/wiki/Spoiler_Alert,3,"November 12, 2007",1194825600,Spoiler Alert,Pamela Fryman,8.58,Stephen Lloyd,43
53,9,/wiki/Slapsgiving,3,"November 19, 2007",1195430400,Slapsgiving,Pamela Fryman,8.06,Matt Kuhn,31
54,10,/wiki/The_Yips,3,"November 26, 2007",1196035200,The Yips,Pamela Fryman,7.91,Jamie Rhonheimer,60
55,11,/wiki/The_Platinum_Rule,3,"December 10, 2007",1197244800,The Platinum Rule,Pamela Fryman,8.49,"Carter Bays,Craig Thomas",77
56,12,/wiki/No_Tomorrow,3,"March 17, 2008",1205712000,No Tomorrow,Pamela Fryman,9.73,"Carter Bays,Craig Thomas",53
57,13,/wiki/Ten_Sessions,3,"March 24, 2008",1206316800,Ten Sessions,Pamela Fryman,10.67,"Chris Harris, Carter Bays,Craig Thomas",49
58,14,/wiki/The_Bracket,3,"March 31, 2008",1206918000,The Bracket,Pamela Fryman,9.50,Joe Kelly,62
59,15,/wiki/The_Chain_of_Screaming,3,"April 14, 2008",1208127600,The Chain of Screaming,Pamela Fryman,7.99,"Carter Bays,Craig Thomas",45
60,16,/wiki/Sandcastles_in_the_Sand,3,"April 21, 2008",1208732400,Sandcastles in the Sand,Pamela Fryman,8.45,Kourtney Kang,41
61,17,/wiki/The_Goat,3,"April 28, 2008",1209337200,The Goat,Pamela Fryman,8.84,Stephen Lloyd,27
62,18,/wiki/Rebound_Bro,3,"May 5, 2008",1209942000,Rebound Bro,Pamela Fryman,8.36,Jamie Rhonheimer,50
63,19,/wiki/Everything_Must_Go,3,"May 12, 2008",1210546800,Everything Must Go,Pamela Fryman,8.93,"Jonathan Groff,Chris Harris",25
64,20,/wiki/Miracles,3,"May 19, 2008",1211151600,Miracles,Pamela Fryman,7.99,"Carter Bays,Craig Thomas",35
65,1,/wiki/Do_I_Know_You%3F,4,"September 22, 2008",1222038000,Do I Know You?,Pamela Fryman,9.79,"Carter Bays,Craig Thomas",40
66,2,/wiki/The_Best_Burger_in_New_York,4,"September 29, 2008",1222642800,The Best Burger in New York,Pamela Fryman,8.72,"Carter Bays,Craig Thomas",31
67,3,/wiki/I_Heart_NJ,4,"October 6, 2008",1223247600,I Heart NJ,Pamela Fryman,8.97,Greg Malins,28
68,4,/wiki/Intervention,4,"October 13, 2008",1223852400,Intervention,Michael Shea,9.25,Stephen Lloyd,40
69,5,/wiki/Shelter_Island,4,"October 20, 2008",1224457200,Shelter Island,Pamela Fryman,9.45,Chris Harris,60
70,6,/wiki/Happily_Ever_After,4,"November 3, 2008",1225670400,Happily Ever After,Pamela Fryman,9.40,Jamie Rhonheimer,63
71,7,/wiki/Not_a_Father%27s_Day,4,"November 10, 2008",1226275200,Not a Father's Day,Pamela Fryman,9.79,Robia Rashid,29
72,8,/wiki/Woooo!,4,"November 17, 2008",1226880000,Woooo!,Pamela Fryman,9.99,"Carter Bays,Craig Thomas",35
73,9,/wiki/The_Naked_Man,4,"November 24, 2008",1227484800,The Naked Man,Pamela Fryman,10.04,Joe Kelly,55
74,10,/wiki/The_Fight,4,"December 8, 2008",1228694400,The Fight,Pamela Fryman,10.49,Theresa Mulligan Rosenthal,43
75,11,/wiki/Little_Minnesota,4,"December 15, 2008",1229299200,Little Minnesota,Pamela Fryman,11.44,Chuck Tatham,36
76,12,/wiki/Benefits,4,"January 12, 2009",1231718400,Benefits,Pamela Fryman,11.76,Kourtney Kang,48
77,13,/wiki/Three_Days_of_Snow,4,"January 19, 2009",1232323200,Three Days of Snow,Pamela Fryman,10.69,Matt Kuhn,67
78,14,/wiki/The_Possimpible,4,"February 2, 2009",1233532800,The Possimpible,Pamela Fryman,10.30,Jonathan Groff,25
79,15,/wiki/The_Stinsons,4,"March 2, 2009",1235952000,The Stinsons,Pamela Fryman,11.08,"Carter Bays,Craig Thomas",53
80,16,"/wiki/Sorry,_Bro",4,"March 9, 2009",1236556800,"Sorry, Bro",Pamela Fryman,8.51,"Craig Gerard,Matthew Zinman",56
81,17,/wiki/The_Front_Porch,4,"March 16, 2009",1237161600,The Front Porch,Rob Greenberg,9.29,Chris Harris,47
82,18,/wiki/Old_King_Clancy,4,"March 23, 2009",1237766400,Old King Clancy,Pamela Fryman,7.36,Jamie Rhonheimer,37
83,19,/wiki/Murtaugh,4,"March 30, 2009",1238367600,Murtaugh,Pamela Fryman,9.20,Joe Kelly,63
84,20,/wiki/Mosbius_Designs,4,"April 13, 2009",1239577200,Mosbius Designs,Pamela Fryman,9.56,Kourtney Kang,42
85,21,/wiki/The_Three_Days_Rule,4,"April 27, 2009",1240786800,The Three Days Rule,Pamela Fryman,8.87,Greg Malins,55
86,22,"/wiki/Right_Place,_Right_Time",4,"May 4, 2009",1241391600,"Right Place, Right Time",Pamela Fryman,8.89,Stephen Lloyd,61
87,23,/wiki/As_Fast_As_She_Can,4,"May 11, 2009",1241996400,As Fast as She Can,Pamela Fryman,8.70,"Carter Bays,Craig Thomas",36
88,24,/wiki/The_Leap,4,"May 18, 2009",1242601200,The Leap,Pamela Fryman,8.73,"Carter Bays,Craig Thomas",38
89,1,/wiki/Definitions,5,"September 21, 2009",1253487600,Definitions,Pamela Fryman,9.09,"Carter Bays,Craig Thomas",54
90,2,/wiki/Double_Date,5,"September 28, 2009",1254092400,Double Date,Pamela Fryman,8.73,Matt Kuhn,53
91,3,/wiki/Robin_101,5,"October 5, 2009",1254697200,Robin 101,Pamela Fryman,8.23,"Carter Bays,Craig Thomas",57
92,4,/wiki/The_Sexless_Innkeeper,5,"October 12, 2009",1255302000,The Sexless Innkeeper,Pamela Fryman,8.56,Kourtney Kang,43
93,5,/wiki/Duel_Citizenship,5,"October 19, 2009",1255906800,Duel Citizenship,Pamela Fryman,8.07,Chuck Tatham,45
94,6,/wiki/Bagpipes,5,"November 2, 2009",1257120000,Bagpipes,Pamela Fryman,8.82,Robia Rashid,49
95,7,/wiki/The_Rough_Patch,5,"November 9, 2009",1257724800,The Rough Patch,Pamela Fryman,8.82,Chris Harris,54
96,8,/wiki/The_Playbook,5,"November 16, 2009",1258329600,The Playbook,Pamela Fryman,8.44,"Carter Bays,Craig Thomas",65
97,9,/wiki/Slapsgiving_2:_Revenge_of_the_Slap,5,"November 23, 2009",1258934400,Slapsgiving 2: Revenge of the Slap,Pamela Fryman,8.75,Jamie Rhonheimer,51
98,10,/wiki/The_Window,5,"December 7, 2009",1260144000,The Window,Pamela Fryman,8.79,Joe Kelly,64
99,11,/wiki/Last_Cigarette_Ever,5,"December 14, 2009",1260748800,Last Cigarette Ever,Pamela Fryman,9.65,Theresa Mulligan Rosenthal,52
100,12,/wiki/Girls_Versus_Suits,5,"January 11, 2010",1263168000,Girls Versus Suits,Pamela Fryman,9.78,"Carter Bays,Craig Thomas",54
101,13,/wiki/Jenkins,5,"January 18, 2010",1263772800,Jenkins,Neil Patrick Harris,10.52,Greg Malins,59
102,14,/wiki/Perfect_Week,5,"February 1, 2010",1264982400,Perfect Week,Pamela Fryman,9.28,"Craig Gerard,Matthew Zinman",64
103,15,/wiki/Rabbit_or_Duck,5,"February 8, 2010",1265587200,Rabbit or Duck,Pamela Fryman,10.00,"Carter Bays,Craig Thomas",60
104,16,/wiki/Hooked,5,"March 1, 2010",1267401600,Hooked,Pamela Fryman,10.37,Kourtney Kang,54
105,17,/wiki/Of_Course,5,"March 8, 2010",1268006400,Of Course,Pamela Fryman,10.06,Matt Kuhn,61
106,18,/wiki/Say_Cheese,5,"March 22, 2010",1269216000,Say Cheese,Pamela Fryman,8.37,Robia Rashid,55
107,19,/wiki/Zoo_or_False,5,"April 12, 2010",1271026800,Zoo or False,Pamela Fryman,6.88,Stephen Lloyd,60
108,20,/wiki/Home_Wreckers,5,"April 19, 2010",1271631600,Home Wreckers,Pamela Fryman,7.71,Chris Harris,44
109,21,/wiki/Twin_Beds,5,"May 3, 2010",1272841200,Twin Beds,Pamela Fryman,7.70,Theresa Mulligan Rosenthal,54
110,22,/wiki/Robots_Vs_Wrestlers,5,"May 10, 2010",1273446000,Robots Versus Wrestlers,Rob Greenberg,8.16,Jamie Rhonheimer,41
111,23,/wiki/The_Wedding_Bride,5,"May 17, 2010",1274050800,The Wedding Bride,Pamela Fryman,7.69,Stephen Lloyd,53
112,24,/wiki/Doppelgangers,5,"May 24, 2010",1274655600,Doppelgangers,Pamela Fryman,8.18,"Carter Bays,Craig Thomas",53
113,1,/wiki/Big_Days,6,"September 20, 2010",1284937200,Big Days,Pamela Fryman,8.79,"Carter Bays,Craig Thomas",41
114,2,/wiki/Cleaning_House,6,"September 27, 2010",1285542000,Cleaning House,Pamela Fryman,9.00,Stephen Lloyd,64
115,3,/wiki/Unfinished,6,"October 4, 2010",1286146800,Unfinished,Pamela Fryman,8.60,Jamie Rhonheimer,59
116,4,/wiki/Subway_Wars,6,"October 11, 2010",1286751600,Subway Wars,Pamela Fryman,8.48,Chris Harris,54
117,5,/wiki/Architect_of_Destruction,6,"October 18, 2010",1287356400,Architect of Destruction,Pamela Fryman,8.05,"Carter Bays,Craig Thomas",49
118,6,/wiki/Baby_Talk,6,"October 25, 2010",1287961200,Baby Talk,Pamela Fryman,8.29,Joe Kelly,53
119,7,/wiki/Canning_Randy,6,"November 1, 2010",1288569600,Canning Randy,Pamela Fryman,8.88,Chuck Tatham,55
120,8,/wiki/Natural_History,6,"November 8, 2010",1289174400,Natural History,Pamela Fryman,8.87,"Carter Bays,Craig Thomas",51
121,9,/wiki/Glitter,6,"November 15, 2010",1289779200,Glitter,Pamela Fryman,8.87,Kourtney Kang,41
122,10,/wiki/Blitzgiving,6,"November 22, 2010",1290384000,Blitzgiving,Pamela Fryman,8.73,Theresa Mulligan Rosenthal,60
123,11,/wiki/The_Mermaid_Theory,6,"December 6, 2010",1291593600,The Mermaid Theory,Pamela Fryman,9.26,Robia Rashid,41
124,12,/wiki/False_Positive,6,"December 13, 2010",1292198400,False Positive,Pamela Fryman,9.70,"Craig Gerard,Matthew Zinman",48
125,13,/wiki/Bad_News,6,"January 3, 2011",1294012800,Bad News,Pamela Fryman,10.15,Jennifer Hendriks,55
126,14,/wiki/Last_Words,6,"January 17, 2011",1295222400,Last Words,Pamela Fryman,10.54,"Carter Bays,Craig Thomas",54
127,15,/wiki/Oh_Honey,6,"February 7, 2011",1297036800,Oh Honey,Pamela Fryman,10.00,"Carter Bays,Craig Thomas",62
128,16,/wiki/Desperation_Day,6,"February 14, 2011",1297641600,Desperation Day,Pamela Fryman,9.51,Tami Sagher,54
129,17,/wiki/Garbage_Island,6,"February 21, 2011",1298246400,Garbage Island,Michael Shea,9.33,Tom Ruprecht,45
130,18,/wiki/A_Change_of_Heart,6,"February 28, 2011",1298851200,A Change of Heart,Pamela Fryman,9.24,Matt Kuhn,59
131,19,/wiki/Legendaddy,6,"March 21, 2011",1300665600,Legendaddy,Pamela Fryman,8.03,"Dan Gregor,Doug Mand",66
132,20,/wiki/The_Exploding_Meatball_Sub,6,"April 11, 2011",1302476400,The Exploding Meatball Sub,Pamela Fryman,6.87,Stephen Lloyd,37
133,21,/wiki/Hopeless,6,"April 18, 2011",1303081200,Hopeless,Pamela Fryman,6.49,Chris Harris,46
134,22,/wiki/The_Perfect_Cocktail,6,"May 2, 2011",1304290800,The Perfect Cocktail,Pamela Fryman,6.77,Joe Kelly,43
135,23,/wiki/Landmarks,6,"May 9, 2011",1304895600,Landmarks,Pamela Fryman,6.41,"Carter Bays,Craig Thomas",44
136,24,/wiki/Challenge_Accepted,6,"May 16, 2011",1305500400,Challenge Accepted,Pamela Fryman,7.15,"Carter Bays,Craig Thomas",43
137,1,/wiki/The_Best_Man,7,"September 19, 2011",1316386800,The Best Man,Pamela Fryman,11.00,"Carter Bays,Craig Thomas",46
138,2,/wiki/The_Naked_Truth,7,"September 19, 2011",1316386800,The Naked Truth,Pamela Fryman,12.22,Stephen Lloyd,53
139,3,/wiki/Ducky_Tie,7,"September 26, 2011",1316991600,Ducky Tie,Rob Greenberg,10.50,"Carter Bays,Craig Thomas",65
140,4,/wiki/The_Stinson_Missile_Crisis,7,"October 3, 2011",1317596400,The Stinson Missile Crisis,Pamela Fryman,10.39,Kourtney Kang,33
141,5,/wiki/Field_Trip,7,"October 10, 2011",1318201200,Field Trip,Pamela Fryman,8.89,Jamie Rhonheimer,50
142,6,/wiki/Mystery_vs._History,7,"October 17, 2011",1318806000,Mystery vs. History,Pamela Fryman,9.81,Chuck Tatham,40
143,7,/wiki/Noretta,7,"October 24, 2011",1319410800,Noretta,Pamela Fryman,9.87,Matt Kuhn,42
144,8,/wiki/The_Slutty_Pumpkin_Returns,7,"October 31, 2011",1320019200,The Slutty Pumpkin Returns,Pamela Fryman,10.49,Tami Sagher,31
145,9,/wiki/Disaster_Averted,7,"November 7, 2011",1320624000,Disaster Averted,Michael Shea,10.28,Robia Rashid,59
146,10,/wiki/Tick_Tick_Tick,7,"November 14, 2011",1321228800,Tick Tick Tick…,Pamela Fryman,10.42,Chris Harris,30
147,11,/wiki/The_Rebound_Girl,7,"November 21, 2011",1321833600,The Rebound Girl,Pamela Fryman,10.01,"Carter Bays,Craig Thomas",50
148,12,/wiki/Symphony_of_Illumination,7,"December 5, 2011",1323043200,Symphony of Illumination,Pamela Fryman,11.51,Joe Kelly,68
149,13,/wiki/Tailgate,7,"January 2, 2012",1325462400,Tailgate,Pamela Fryman,10.14,"Carter Bays,Craig Thomas",37
150,14,/wiki/46_Minutes,7,"January 16, 2012",1326672000,46 Minutes,Pamela Fryman,10.08,"Dan Gregor,Doug Mand",65
151,15,/wiki/The_Burning_Beekeeper,7,"February 6, 2012",1328486400,The Burning Beekeeper,Pamela Fryman,9.98,"Carter Bays,Craig Thomas",40
152,16,/wiki/The_Drunk_Train,7,"February 13, 2012",1329091200,The Drunk Train,Pamela Fryman,9.01,"Craig Gerard,Matthew Zinman",52
153,17,/wiki/No_Pressure,7,"February 20, 2012",1329696000,No Pressure,Pamela Fryman,9.68,George Sloan,38
154,18,/wiki/Karma,7,"February 27, 2012",1330300800,Karma,Pamela Fryman,9.07,Stephen Lloyd,34
155,19,/wiki/The_Broath,7,"March 19, 2012",1332115200,The Broath,Pamela Fryman,8.15,"Carter Bays,Craig Thomas",36
156,20,/wiki/Trilogy_Time,7,"April 9, 2012",1333926000,Trilogy Time,Pamela Fryman,8.00,Kourtney Kang,42
157,21,/wiki/Now_We%27re_Even,7,"April 16, 2012",1334530800,Now We're Even,Pamela Fryman,7.24,Chuck Tatham,53
158,22,/wiki/Good_Crazy,7,"April 30, 2012",1335740400,Good Crazy,Pamela Fryman,7.99,"Carter Bays,Craig Thomas",66
159,23,/wiki/The_Magician%27s_Code_-_Part_One,7,"May 14, 2012",1336950000,"The Magician's Code, Part 1",Pamela Fryman,8.58,Jennifer Hendriks,36
160,24,/wiki/The_Magician%27s_Code_-_Part_Two,7,"May 14, 2012",1336950000,"The Magician's Code, Part 2",Pamela Fryman,8.58,"Carter Bays,Craig Thomas",55
161,1,/wiki/Farhampton,8,"September 24, 2012",1348441200,Farhampton,Pamela Fryman,8.84,"Carter Bays,Craig Thomas",41
162,2,/wiki/The_Pre-Nup,8,"October 1, 2012",1349046000,The Pre-Nup,Pamela Fryman,8.17,"Carter Bays,Craig Thomas",36
163,3,/wiki/Nannies,8,"October 8, 2012",1349650800,Nannies,Pamela Fryman,7.82,Chuck Tatham,38
164,4,/wiki/Who_Wants_to_Be_a_Godparent%3F,8,"October 15, 2012",1350255600,Who Wants to Be a Godparent?,Pamela Fryman,7.93,Matt Kuhn,35
165,5,/wiki/The_Autumn_of_Break-Ups,8,"November 05, 2012",1352073600,The Autumn of Break-Ups,Pamela Fryman,7.22,Kourtney Kang,30
166,6,/wiki/Splitsville,8,"November 12, 2012",1352678400,Splitsville,Pamela Fryman,7.95,Stephen Lloyd,40
167,7,/wiki/The_Stamp_Tramp,8,"November 19, 2012",1353283200,The Stamp Tramp,Pamela Fryman,7.45,Tami Sagher,43
168,8,/wiki/Twelve_Horny_Women,8,"November 26, 2012",1353888000,Twelve Horny Women,Pamela Fryman,8.73,"Eric Falconer,Romanski",20
169,9,/wiki/Lobster_Crawl,8,"December 3, 2012",1354492800,Lobster Crawl,Pamela Fryman,8.26,Barbara Adler,38
170,10,/wiki/The_Over-Correction,8,"December 10, 2012",1355097600,The Over-Correction,Pamela Fryman,8.82,"Craig Gerard,Matthew Zinman",59
171,11,/wiki/The_Final_Page_-_Part_One,8,"December 17, 2012",1355702400,"The Final Page, Part 1",Pamela Fryman,8.70,"Dan Gregor,Doug Mand",66
172,12,/wiki/The_Final_Page_-_Part_Two,8,"December 17, 2012",1355702400,"The Final Page, Part 2",Pamela Fryman,8.70,"Carter Bays,Craig Thomas",
173,13,/wiki/Band_or_DJ%3F,8,"January 14, 2013",1358121600,Band or DJ?,Pamela Fryman,10.51,"Carter Bays,Craig Thomas",47
174,14,/wiki/Ring_Up,8,"January 21, 2013",1358726400,Ring Up!,Pamela Fryman,10.07,Jennifer Hendriks,29
175,15,/wiki/P.S._I_Love_You,8,"February 4, 2013",1359936000,P.S. I Love You,Pamela Fryman,10.30,"Carter Bays,Craig Thomas",58
176,16,/wiki/Bad_Crazy,8,"February 11, 2013",1360540800,Bad Crazy,Pamela Fryman,8.98,"Carter Bays,Craig Thomas",32
177,17,/wiki/The_Ashtray,8,"February 18, 2013",1361145600,The Ashtray,Pamela Fryman,8.85,"Carter Bays,Craig Thomas",25
178,18,/wiki/Weekend_at_Barney%27s,8,"February 25, 2013",1361750400,Weekend at Barney's,Pamela Fryman,8.59,George Sloan,33
179,19,/wiki/The_Fortress,8,"March 18, 2013",1363564800,The Fortress,Michael Shea,7.44,Stephen Lloyd,54
180,20,/wiki/The_Time_Travelers,8,"March 25, 2013",1364169600,The Time Travelers,Pamela Fryman,6.99,"Carter Bays,Craig Thomas",71
181,21,/wiki/Romeward_Bound,8,"April 15, 2013",1365980400,Romeward Bound,Pamela Fryman,6.58,Chuck Tatham,41
182,22,/wiki/The_Bro_Mitzvah,8,"April 29, 2013",1367190000,The Bro Mitzvah,Pamela Fryman,7.06,Chris Harris,52
183,23,/wiki/Something_Old,8,"May 6, 2013",1367794800,Something Old,Pamela Fryman,6.99,"Carter Bays,Craig Thomas",53
184,24,/wiki/Something_New,8,"May 13, 2013",1368399600,Something New,Pamela Fryman,8.57,"Carter Bays,Craig Thomas",52
185,1,/wiki/The_Locket,9,"September 23, 2013",1379890800,The Locket,Pamela Fryman,9.40,"Carter Bays,Craig Thomas",54
186,2,/wiki/Coming_Back,9,"September 23, 2013",1379890800,Coming Back,Pamela Fryman,9.40,"Carter Bays,Craig Thomas",52
187,3,/wiki/Last_Time_in_New_York,9,"September 30, 2013",1380495600,Last Time in New York,Pamela Fryman,7.87,"Craig Gerard,Matthew Zinman",50
188,4,/wiki/The_Broken_Code,9,"October 7, 2013",1381100400,The Broken Code,Pamela Fryman,7.53,Matt Kuhn,46
189,5,/wiki/The_Poker_Game,9,"October 14, 2013",1381705200,The Poker Game,Pamela Fryman,7.98,"Dan Gregor,Doug Mand",35
190,6,/wiki/Knight_Vision,9,"October 21, 2013",1382310000,Knight Vision,Pamela Fryman,7.64,Chris Harris,59
191,7,/wiki/No_Questions_Asked,9,"October 28, 2013",1382918400,No Questions Asked,Pamela Fryman,7.63,Stephen Lloyd,37
192,8,/wiki/The_Lighthouse,9,"November 4, 2013",1383523200,The Lighthouse,Pamela Fryman,8.67,Rachel Axler,39
193,9,/wiki/Platonish,9,"November 11, 2013",1384128000,Platonish,Pamela Fryman,8.08,George Sloan,42
194,10,/wiki/Mom_and_Dad,9,"November 18, 2013",1384732800,Mom and Dad,Pamela Fryman,8.11,"Carter Bays,Craig Thomas",35
195,11,/wiki/Bedtime_Stories,9,"November 25, 2013",1385337600,Bedtime Stories,Pamela Fryman,7.64,"Carter Bays,Craig Thomas",36
196,12,/wiki/The_Rehearsal_Dinner,9,"December 2, 2013",1385942400,The Rehearsal Dinner,Pamela Fryman,8.04,Chuck Tatham,41
197,13,/wiki/Bass_Player_Wanted,9,"December 16, 2013",1387152000,Bass Player Wanted,Pamela Fryman,7.71,"Carter Bays,Craig Thomas",52
198,14,/wiki/Slapsgiving_3:_Slappointment_in_Slapmarra,9,"January 13, 2014",1389571200,Slapsgiving 3: Slappointment in Slapmarra,Pamela Fryman,8.59,"Carter Bays,Craig Thomas",50
199,15,/wiki/Unpause,9,"January 20, 2014",1390176000,Unpause,Pamela Fryman,8.83,Chris Harris,66
